"Category";"SOLAR";"EOLICA";"PCH"
"2020-03-19";57,55588000000008;0;0,7
"2020-03-20";57,56452000000008;0;0,7
"2020-03-25";57,56952000000008;0;0,7
"2020-03-31";57,63282000000008;0;0,7
"2020-04-01";57,67933000000008;0;0,7
"2020-04-02";57,72901000000008;0;0,7
"2020-04-03";57,81101000000008;0;0,7
"2020-04-08";57,898010000000085;0;0,7
"2020-04-18";57,89939000000008;0;0,7
"2020-04-21";57,99875000000008;0;0,7
"2020-04-24";58,06695000000008;0;0,7
"2020-04-28";58,26695000000008;0;0,7
"2020-05-04";58,28958000000008;0;0,7
"2020-05-05";58,33482000000008;0;0,7
"2020-05-07";58,490300000000076;0;0,7
"2020-05-08";58,516220000000075;0;0,7
"2020-05-11";58,700720000000075;0;0,7
"2020-05-12";58,81832000000008;0;0,7
"2020-05-13";58,84274000000008;0;0,7
"2020-05-14";58,85638000000008;0;0,7
"2020-05-15";58,95351000000008;0;0,7
"2020-05-18";58,95789000000008;0;0,7
"2020-05-19";59,029580000000074;0;0,7
"2020-05-20";59,032490000000074;0;0,7
"2020-05-21";59,06476000000007;0;0,7
"2020-05-22";59,070030000000074;0;0,7
"2020-05-26";59,288830000000075;0;0,7
"2020-05-27";59,39255000000008;0;0,7
"2020-05-28";59,41935000000008;0;0,7
"2020-05-29";59,44029000000008;0;0,7
"2020-05-31";69,34029000000008;0;0,7
"2020-06-01";69,38324000000009;0;0,7
"2020-06-02";69,41729000000008;0;0,7
"2020-06-03";69,47729000000008;0;0,7
"2020-06-04";69,47849000000008;0;0,7
"2020-06-05";69,49764000000008;0;0,7
"2020-06-08";69,50928000000008;0;0,7
"2020-06-09";69,51796000000007;0;0,7
"2020-06-10";69,60116000000008;0;0,7
"2020-06-11";69,63956000000007;0;0,7
"2020-06-12";69,68140000000007;0;0,7
"2020-06-13";69,70020000000007;0;0,7
"2020-06-16";69,74067000000007;0;0,7
"2020-06-17";69,81014000000006;0;0,7
"2020-06-18";69,84671000000006;0;0,7
"2020-06-19";69,87335000000006;0;0,7
"2020-06-20";69,88193000000005;0;0,7
"2020-06-22";70,30503000000006;0;0,7
"2020-06-23";70,30557000000006;0;0,7
"2020-06-24";70,30928000000006;0;0,7
"2020-06-25";70,32541000000006;0;0,7
"2020-06-26";70,39741000000006;0;0,7
"2020-06-27";70,40438000000006;0;0,7
"2020-06-30";70,59438000000006;0;0,7
"2020-07-01";70,65088000000006;0;0,7
"2020-07-02";70,84978000000005;0;0,7
"2020-07-03";70,97938000000005;0;0,7
"2020-07-04";71,39389000000006;0;0,7
"2020-07-06";71,40206500000005;0;0,7
"2020-07-07";71,40926500000005;0;0,7
"2020-07-10";71,55326500000005;0;0,7
"2020-07-11";71,57182500000005;0;0,7
"2020-07-13";71,60362500000005;0;0,7
"2020-07-14";71,68291500000005;0;0,7
"2020-07-15";71,74941500000006;0;0,7
"2020-07-16";71,75259500000006;0;0,7
"2020-07-17";71,78829500000006;0;0,7
"2020-07-18";71,80101500000006;0;0,7
"2020-07-20";71,80217500000006;0;0,7
"2020-07-21";71,81310500000006;0;0,7
"2020-07-22";71,85047500000006;0;0,7
"2020-07-23";71,89937500000006;0;0,7
"2020-07-24";71,92417500000006;0;0,7
"2020-07-25";71,97508500000006;0;0,7
"2020-07-27";72,00710500000007;0;0,7
"2020-07-28";72,01499500000007;0;0,7
"2020-07-29";72,02299500000007;0;0,7
"2020-07-30";72,03128500000007;0;0,7
"2020-07-31";72,04833500000007;0;0,7
"2020-08-01";72,06649500000006;0;0,7
"2020-08-03";72,08969500000006;0;0,7
"2020-08-04";72,09524500000006;0;0,7
"2020-08-05";72,12173500000006;0;0,7
"2020-08-06";72,16981500000006;0;0,7
"2020-08-09";72,22981500000006;0;0,7
"2020-08-10";72,36457000000006;0;0,7
"2020-08-11";72,40455000000006;0;0,7
"2020-08-12";72,41884000000006;0;0,7
"2020-08-13";72,48735000000006;0;0,7
